hours_studied,attendance_rate,extracurricular,sleep_hours,internet_access,parental_education,test_score,pass_fail
4,85.048456572956,no,9.623370923418706,yes,high_school,39,0
8,53.638150318209675,no,8.127314333804879,no,none,27,0
6,91.09300296451781,no,4.407022354631032,no,high_school,46,0
1,85.31211135782482,no,5.805781401680898,no,none,38,0
3,54.06743903209499,yes,8.24903253187169,yes,high_school,69,1
8,54.241885704259595,no,4.40410360881263,yes,master,72,1
1,99.33197892505876,no,7.49302276105764,no,bachelor,19,0
9,68.71353978780601,no,6.07529834171774,no,none,0,0
8,68.53210735334454,yes,7.725493106604863,no,high_school,71,1
9,90.63997836287513,no,4.274452202875077,no,high_school,86,1
4,97.36242886919294,yes,9.229220836914259,no,high_school,62,1
1,99.30005319114355,no,9.840933815064382,no,master,66,1
3,87.66890926294708,no,9.813267131714149,yes,master,3,0
6,68.81297927654579,yes,8.497910990457548,no,none,57,1
7,54.17503583493344,no,4.780517440783791,yes,none,24,0
2,88.85734579637185,yes,8.549579175574134,no,master,46,0
0,77.92021248679025,yes,4.147521498752809,no,none,37,0
3,71.21110046234881,no,4.1327413091739835,yes,bachelor,14,0
1,95.3177192547368,yes,5.941661314897248,yes,bachelor,62,1
7,55.559874115307565,no,6.931859142427994,yes,master,20,0
3,74.63125521454296,no,8.622444506846758,yes,none,98,1
1,50.567682238370956,yes,8.099772259639032,no,high_school,56,1
5,73.43303209970631,yes,6.67541623826049,yes,bachelor,52,1
5,52.815163784091865,yes,5.641759997689995,no,master,45,0
9,55.9408958134036,yes,9.982747000946267,yes,none,13,0
3,55.87631233885524,no,6.557087813415838,no,master,99,1
5,82.46051510580318,no,6.708322145978053,no,high_school,75,1
1,87.30224396327117,yes,4.981742927150015,no,bachelor,16,0
9,79.16843825485799,no,8.768857292499575,no,master,38,0
1,98.10862742372709,no,8.162093354688931,no,master,8,0
9,68.7435289761852,no,5.324617676732562,no,master,98,1
3,64.28560431409304,no,4.494286273695057,yes,high_school,76,1
7,93.42995640947302,yes,8.082995812448278,no,master,78,1
6,61.17979192597263,yes,7.927067285686811,yes,high_school,81,1
8,98.16112697203056,no,5.639557161989256,yes,high_school,96,1
7,50.60772373449082,yes,9.705181373502462,no,high_school,5,0
4,98.49394133538195,yes,4.906347350685401,yes,bachelor,90,1
1,52.1579955975288,yes,6.594008806255611,no,bachelor,22,0
4,94.55715568490356,no,9.661695521005594,yes,master,58,1
7,76.385055454315,no,6.518363901556734,no,master,90,1
9,99.64823980596502,no,7.8311556859845135,yes,bachelor,97,1
8,53.68982823676994,yes,6.385566387776766,no,none,45,0
8,77.69271422006604,no,5.64529121409202,no,bachelor,37,0
0,98.46512678095495,no,9.903865887758968,no,high_school,13,0
8,76.15489220850745,yes,6.456004037890258,no,bachelor,99,1
6,81.46993190676312,no,9.364595222074806,yes,high_school,71,1
8,84.78743444923086,no,5.3797276353465175,no,master,61,1
7,72.72705323838866,yes,5.2786282241505,yes,none,34,0
0,81.37790400420317,yes,4.186804497307068,yes,master,18,0
7,79.21571559615501,yes,7.91000095225531,yes,high_school,29,0
7,95.05790052454944,no,6.211158062342567,no,high_school,77,1
2,52.272319017072896,no,9.186149499037821,yes,high_school,83,1
0,64.04815947961151,no,6.839259440149343,yes,none,24,0
7,97.52057420382793,yes,9.80916056748833,yes,bachelor,39,0
2,94.51318919454582,yes,5.113153094218727,no,master,87,1
2,72.78283763928565,no,9.211739007733666,no,master,13,0
0,81.00662989007684,no,8.65958111675045,yes,bachelor,25,0
4,63.86905914905663,yes,8.625531067864312,no,master,86,1
9,59.40605798618807,yes,9.068699368701326,no,none,21,0
6,73.18492024699911,yes,8.566143945657993,yes,master,47,0
9,67.66761140130264,yes,7.7573219297884926,yes,high_school,82,1
8,79.1828055925436,no,4.787469266094325,no,bachelor,50,1
6,53.88673184824924,yes,4.1951570769475115,yes,none,2,0
8,98.71974038330833,no,9.525087086894121,no,bachelor,41,0
7,99.31053722398013,no,7.699901887124428,no,none,18,0
1,84.90808570098726,no,8.779223745857058,no,high_school,72,1
0,76.80481831720601,yes,6.8891341090753,no,bachelor,27,0
6,65.47638081431639,yes,4.703849133774367,no,master,83,1
6,90.68975098534743,yes,4.751114753215303,no,none,44,0
7,84.23655862769397,yes,8.113391723373828,yes,bachelor,70,1
4,58.130846967244565,no,6.581835369396776,yes,master,77,1
2,95.54635922469213,yes,5.20314836020202,no,bachelor,62,1
7,91.12686214615846,yes,6.949567280448621,no,bachelor,72,1
5,97.4899956645962,no,4.385253622450804,no,bachelor,18,0
2,86.28597541941801,yes,7.4918284114863924,yes,none,46,0
0,80.6707597967895,no,5.613960426610586,no,master,13,0
2,70.91215181453094,no,8.78535460382313,yes,high_school,37,0
4,96.63642416770065,no,5.862171753541443,no,none,52,1
2,93.30319447502042,no,6.731320894490807,no,none,60,1
0,52.26093350530947,no,4.069723239448604,yes,none,35,0
4,51.3183487248626,no,4.434681326767353,yes,high_school,39,0
9,68.82316834390248,no,6.354961338440109,no,master,80,1
6,90.52766653909165,no,6.879633008302741,no,master,29,0
6,99.36380646574722,yes,7.600123288715823,no,master,8,0
8,57.52084455517641,yes,5.749975472255819,yes,bachelor,63,1
9,79.70653576760675,yes,8.169891316759255,yes,bachelor,32,0
9,69.04454283155107,yes,9.160734383135228,yes,bachelor,51,1
2,98.49571989073016,no,8.679105933360098,yes,high_school,88,1
6,92.10594615678544,yes,4.237712952090143,yes,bachelor,13,0
0,91.91643523555689,no,6.883041683546974,yes,high_school,74,1
3,73.43465798974852,yes,4.629581070509049,no,master,52,1
3,70.74097511688326,yes,5.452270095175165,no,bachelor,98,1
4,63.670353596535314,yes,9.919975559602879,yes,bachelor,58,1
6,52.81877483254635,no,4.854973257409079,no,none,77,1
6,93.23611881275266,yes,6.993328920708136,no,high_school,93,1
3,90.64505045650388,no,7.708934405908715,yes,master,40,0
6,99.98588366430653,no,8.214789823264624,no,none,67,1
2,99.83184185369527,yes,7.357892100921484,yes,none,67,1
5,77.77158528013138,yes,4.058625084515102,yes,master,91,1
1,88.44937075902553,yes,5.9587678494639515,no,none,7,0
9,97.23828649412141,no,7.106269860308268,yes,high_school,1,0
8,92.48236953387058,yes,4.527198994869,yes,high_school,85,1
4,62.36740508715988,no,6.103761587255084,yes,bachelor,40,0
5,72.52720676550467,no,4.1992186527482,yes,none,54,1
3,56.45797075757475,yes,4.471470982930125,yes,bachelor,15,0
9,97.70255136293612,yes,6.381539657209577,yes,none,92,1
6,80.308731722544,no,4.796294524258363,yes,high_school,61,1
8,61.43214027517314,no,7.405245089569349,yes,high_school,47,0
6,83.58503422029284,no,8.136789814823594,no,high_school,29,0
0,80.90641202289478,yes,8.803520194654498,no,none,11,0
0,67.90813590164203,no,5.200901465468861,no,high_school,34,0
8,55.67787960998145,yes,5.004895493554418,yes,none,10,0
8,83.57865977963998,no,4.627407042006402,yes,bachelor,63,1
3,76.01538504518966,no,7.81858149726182,no,none,49,0
8,88.61591958678196,yes,8.238854358921408,no,bachelor,84,1
2,76.00817505559966,no,4.189516868953852,no,none,20,0
6,92.609075015927,yes,9.617273477462138,yes,bachelor,68,1
5,77.59534193872427,yes,4.311827701908834,no,high_school,47,0
7,78.04689857676931,no,7.247778011806423,no,bachelor,19,0
8,93.83268013291726,yes,8.254363116705498,yes,high_school,100,1
4,70.17414331061985,yes,9.225814742476514,no,high_school,66,1
0,56.70076142253204,no,8.284521592794567,yes,bachelor,43,0
2,51.43913381566695,yes,8.81036849841875,yes,none,32,0
9,87.75686278368096,yes,6.036701155256837,yes,none,72,1
7,81.01547756767323,yes,8.888950682479074,no,master,60,1
5,85.20398840496118,no,4.480689078308051,no,none,8,0
7,60.64820807544554,yes,9.368899936363166,yes,master,67,1
8,56.818573779338486,no,7.285554256922417,no,none,34,0
3,50.7272332833941,no,8.903786619774962,no,none,80,1
0,67.52937794032985,yes,6.713909707109801,no,high_school,97,1
0,79.49588434273166,yes,7.86146617117915,no,master,87,1
9,69.61220225498661,yes,7.15841596561668,yes,none,95,1
3,71.87374610118646,no,8.389537130531991,no,master,64,1
6,95.20793472468742,yes,4.489779892183537,yes,high_school,7,0
1,67.41277335116501,yes,4.362112503943383,yes,high_school,44,0
2,75.69947445799053,yes,5.482619404060879,no,master,86,1
0,89.18265063705715,yes,4.95726808067913,yes,high_school,46,0
4,69.8271391160635,yes,9.23070139955321,no,bachelor,39,0
0,81.10433501139367,no,5.315283924148266,no,bachelor,75,1
7,93.11818543733726,no,9.855191534914788,yes,high_school,53,1
0,97.47603118288211,yes,6.0213747506266415,yes,bachelor,75,1
0,57.3536740464519,yes,5.0927074941321955,yes,none,45,0
1,96.32938125807472,yes,8.738191042854876,yes,master,46,0
1,74.6058146539769,yes,7.952246653005257,no,none,14,0
5,62.91221941494792,no,6.989174298718834,no,master,18,0
6,72.95678781191307,yes,7.332181305625787,no,high_school,25,0
4,99.00162876427385,no,8.315210669633583,yes,none,51,1
0,74.63090469964348,no,5.370728447987792,yes,high_school,92,1
0,66.43758051437541,yes,9.978003496340452,yes,high_school,21,0
2,81.67004271583629,no,9.848758972880699,no,master,20,0
1,62.00728093890965,no,7.901954118081621,yes,master,50,1
4,53.7931664054332,no,5.197254705574871,no,master,37,0
9,56.44398609553246,no,8.081369454587747,yes,none,19,0
5,56.40229194788862,yes,4.433190453875055,no,bachelor,28,0
6,57.595134675614716,yes,4.183915013234836,no,master,50,1
3,56.94135863247051,no,5.546097331067282,yes,master,3,0
6,82.04373724016074,yes,6.775737740435898,yes,none,54,1
7,59.09400421995724,yes,9.209635032450283,no,master,70,1
0,67.28336416619317,yes,8.363014418597848,no,none,91,1
5,94.8394204953006,yes,8.456239127199886,yes,high_school,27,0
7,73.69808201314362,yes,6.552960006688452,yes,master,3,0
4,83.37788692605136,no,6.075609955281777,no,master,21,0
3,58.61599356008149,yes,6.226232577907616,yes,high_school,75,1
1,59.61445094043354,yes,9.925897382416347,no,high_school,44,0
5,52.043430813323944,yes,4.240655148474895,no,high_school,66,1
5,58.44675315360823,yes,9.202188976734691,yes,master,85,1
0,63.92951695159793,no,7.472052451434361,yes,bachelor,65,1
8,58.85052421383734,no,6.6316925151375425,yes,bachelor,87,1
5,54.43512668785278,no,8.35154596249082,yes,bachelor,33,0
2,56.03179355503004,no,6.920013648548217,yes,master,90,1
3,73.03893840163629,yes,9.240539428489964,no,high_school,54,1
3,60.31668592028963,no,9.40421118406755,no,master,0,0
2,68.21349305240378,yes,6.5303255612407325,yes,high_school,71,1
9,75.17086354274284,yes,5.660966783410309,yes,master,86,1
2,84.51974143146826,yes,7.554101971560174,yes,master,37,0
2,51.965606992054944,yes,9.474180073700147,no,high_school,5,0
3,89.97051994545214,yes,5.263973134034,yes,bachelor,85,1
6,81.39501947454539,no,7.737799501380897,yes,high_school,24,0
3,54.08795159744359,no,7.789361320555123,no,none,81,1
8,93.67893120533887,no,8.398678134491686,no,none,16,0
0,96.04362002659066,no,4.789406110763559,yes,high_school,60,1
7,53.05389799274319,yes,8.29494978809253,yes,master,11,0
6,63.843882407360184,no,9.454195123993845,yes,none,5,0
1,90.31006398965306,yes,5.078098653221452,no,none,89,1
7,87.41298451918291,no,5.425259949543266,yes,master,26,0
0,59.226050967818864,yes,9.828370564249838,yes,master,7,0
8,60.467466166835514,yes,5.085861716256939,yes,bachelor,82,1
8,68.5236051395691,no,9.126310560217474,no,master,64,1
1,74.22614925955106,yes,6.953667138688209,no,high_school,56,1
6,80.9127385765148,yes,5.483386446419062,yes,high_school,92,1
9,68.44568197848862,no,9.224499407635069,yes,bachelor,98,1
2,73.1267358066574,yes,6.671831530015993,no,none,39,0
6,87.37354690668784,no,7.088904123578141,no,none,13,0
9,51.834160144529896,no,6.155400216398594,no,master,34,0
8,62.62184721720104,no,7.557705108609564,no,high_school,47,0
3,85.66747929422762,yes,4.981143235510137,no,none,83,1
0,94.76034188435997,yes,6.3464892199105645,no,bachelor,55,1
1,75.58387210578331,yes,9.816473934011725,no,bachelor,48,0
0,76.60567426326578,no,5.548800596206766,no,high_school,12,0
4,55.358600566988805,yes,7.940419987247753,no,bachelor,60,1
4,72.37061834117273,no,5.951140385348169,yes,bachelor,48,0
6,76.63086332275115,no,8.640838754119603,yes,high_school,45,0
8,62.12352518173648,yes,4.785241964310099,yes,master,61,1
8,63.46216154746905,no,9.818926270471268,no,master,7,0
2,68.86420815523113,yes,6.7227372483018355,yes,bachelor,42,0
2,51.003559888886315,yes,5.416302780078784,no,master,19,0
2,66.10395827915892,yes,4.440980483980076,no,master,96,1
3,60.572400349827234,yes,5.018547430525245,yes,bachelor,89,1
7,66.37486760889573,yes,7.118643691336106,no,master,38,0
5,55.98810659096256,no,6.022019058587718,yes,bachelor,84,1
7,94.52636403699475,no,8.973300195295657,yes,none,48,0
0,79.67962267770244,no,6.585325141970836,yes,high_school,63,1
7,83.95511595722448,yes,5.492285635525779,no,high_school,61,1
3,89.45856193036691,yes,7.70286991962418,yes,master,53,1
0,74.92210994645286,yes,8.240663301312676,no,master,8,0
7,54.34601440437118,no,5.002251447405699,yes,master,87,1
3,76.85532709092739,yes,5.005715297729906,yes,high_school,36,0
5,79.34205590104395,no,4.220028561601258,yes,none,48,0
7,87.2719737092165,no,8.418412090393844,no,none,40,0
3,71.58297731148397,yes,7.98282716573083,no,high_school,16,0
2,56.37901513977819,yes,6.847785254498883,no,none,87,1
8,64.18879528993622,no,9.065022693815184,yes,high_school,20,0
2,68.15411481993175,yes,8.834020917700318,yes,none,50,1
8,82.29586206658007,no,7.512126186380513,no,bachelor,58,1
1,78.53891523344559,yes,9.209627683079551,no,bachelor,38,0
1,67.80483629489231,yes,5.235047260220609,no,high_school,54,1
1,99.32576243964898,no,4.671517716386367,no,none,40,0
5,80.28874096784436,yes,5.618497669101938,no,master,38,0
2,61.86133958679972,no,4.342521136535889,no,none,12,0
8,55.089123631020186,yes,7.187017168006192,yes,bachelor,63,1
3,57.642956959216605,no,9.61963415376977,no,bachelor,10,0
0,62.29788641922541,no,4.236061244011058,yes,none,18,0
3,58.03406866297779,yes,4.732659484060161,yes,none,10,0
0,59.32835120256529,no,6.7131941697006114,no,master,76,1
4,64.25475843469235,yes,9.60325010516743,no,master,45,0
3,58.66867976473774,yes,5.8969366298605035,yes,none,44,0
7,94.83827123132126,yes,7.043408852130355,no,none,0,0
7,54.01168728308211,no,4.249437154302353,no,none,39,0
6,76.22556947851274,no,4.890059205772533,yes,none,18,0
2,70.51984134948307,yes,9.919780737753081,yes,high_school,75,1
0,99.11893084543033,yes,9.790712178616273,yes,none,71,1
0,55.60194510840262,no,4.029639885606458,no,master,71,1
2,69.89277995228709,yes,9.710870712539434,yes,bachelor,60,1
5,98.47352166376845,yes,7.834719626893002,no,high_school,11,0
6,93.27535629469901,no,9.207509767120133,yes,none,60,1
5,90.85360354746399,yes,6.728439133803155,yes,bachelor,32,0
5,62.895141352246995,no,7.093576171475501,yes,high_school,44,0
5,58.54437936950329,yes,6.933079481541521,no,bachelor,89,1
2,83.43216099622154,no,8.001185545276627,no,none,91,1
5,96.46879945637929,yes,4.837907528537878,yes,none,68,1
7,77.83814465069649,yes,4.179841539236068,yes,master,7,0
1,78.580634473495,no,5.8475796495471455,yes,none,24,0
4,63.998954683014205,yes,8.22808457641988,no,none,90,1
0,88.47464665959684,no,5.21112071273769,yes,high_school,45,0
0,59.35218742787617,yes,8.040594599949504,no,master,86,1
4,66.18396182021218,no,9.819472276643623,yes,high_school,29,0
2,71.27182193082083,no,4.56340429473651,yes,bachelor,46,0
3,75.38051893422275,no,8.035612709350758,yes,none,86,1
2,62.12048662075401,no,6.662501315827427,yes,bachelor,48,0
0,55.74184123696018,yes,9.208853526265031,yes,high_school,46,0
0,80.53100212208163,yes,5.062898736684316,yes,none,83,1
4,64.43152766201278,no,8.155755713356987,no,none,81,1
5,79.06191107113061,no,9.02869173788866,yes,high_school,17,0
2,57.718135763710116,no,9.667685316844139,no,high_school,65,1
8,74.05700509274087,yes,8.099488169737874,yes,high_school,67,1
4,76.62947162757929,yes,6.983048584050564,yes,high_school,93,1
7,52.591176841121346,yes,7.707083441207283,no,high_school,32,0
0,66.83021390969603,yes,9.21342990687231,yes,none,35,0
4,56.72073384694871,no,7.423658479832978,no,high_school,81,1
2,53.168748523638385,no,4.182322358181021,no,none,100,1
0,99.49801161949726,no,9.585692173041867,yes,none,18,0
3,66.11769224873615,yes,8.137160506189367,no,high_school,27,0
4,90.49372229273175,yes,8.059080314663479,no,high_school,39,0
6,62.732032738188195,yes,5.294050914386303,yes,master,83,1
0,84.07513611119646,no,7.953312821395944,no,none,96,1
2,88.01139299448432,no,6.363186433924951,yes,high_school,75,1
1,79.78193703039221,yes,7.907397862248953,yes,high_school,14,0
8,73.57880942750792,no,4.639558181847944,yes,high_school,40,0
9,70.59204570736343,yes,7.947071827618216,yes,master,38,0
5,67.44341332714977,yes,9.996482354624,no,master,1,0
9,96.4764572123913,no,4.289272233163336,yes,bachelor,62,1
2,91.53097038938645,yes,9.863045105327904,yes,none,28,0
7,98.25134553332563,no,6.441447764337224,no,bachelor,73,1
7,56.21486117427724,yes,9.224520702023554,yes,high_school,65,1
1,86.54337376018222,no,8.69431290434964,yes,master,50,1
5,96.91702284105189,no,7.402097565920007,no,master,74,1
6,59.061653308283006,no,8.43069525550796,no,bachelor,76,1
1,53.32481336833887,yes,9.271093367808088,no,master,9,0
9,87.05603246450295,yes,6.424841929906198,no,high_school,13,0
1,78.7236556589956,no,5.962198969379433,no,master,81,1
9,92.0914388379136,no,8.005560313381508,no,bachelor,50,1
0,56.988618831314476,yes,8.84707565164755,no,high_school,72,1
7,89.76336559299452,yes,8.573710808659694,yes,bachelor,38,0
0,60.08136600238723,yes,8.786881893151808,no,master,27,0
8,58.18279714328523,no,6.613499888877598,no,bachelor,2,0
5,58.21328989654965,yes,8.90700529705013,no,bachelor,83,1
6,90.72873601156911,yes,4.72125433222365,yes,none,69,1
9,83.25986103481,no,7.266934587765097,yes,master,26,0
6,76.15327123845597,yes,4.034551962988729,no,master,1,0
9,67.94152420617513,yes,5.947514979401622,no,bachelor,92,1
2,93.86002704065541,yes,6.198769209228387,no,none,37,0
1,69.62225537113177,no,6.377036149655533,yes,master,2,0
8,90.82997197357886,no,8.172803240139173,yes,high_school,15,0
7,71.95674542851091,no,6.331348607622075,no,bachelor,93,1
9,68.84722147124538,no,6.6921617357351835,yes,master,39,0
6,73.13398928348032,no,5.425264785245965,no,high_school,1,0
8,65.0688937082071,no,6.2395107497760405,yes,master,80,1
3,87.38046900881255,no,5.363617763578909,yes,high_school,40,0
3,75.13601950462396,yes,4.439175542610662,no,bachelor,11,0
0,61.61063475734086,yes,7.620691560288267,no,master,34,0
7,94.97872866372842,no,8.009276791330098,no,master,64,1
2,69.19456106866056,yes,7.716942076057687,no,none,54,1
6,77.17764305569943,yes,6.780964262803434,yes,bachelor,44,0
1,95.32360554822735,no,6.278714681075379,yes,high_school,78,1
1,81.21189979569961,yes,9.180001897430952,yes,master,89,1
6,55.8449020354182,yes,7.114490710817308,no,master,100,1
5,96.99160618067376,yes,6.875091265778385,yes,high_school,84,1
2,81.38540265357089,yes,4.153852394838614,no,bachelor,61,1
8,66.7452807328543,yes,6.047486965756939,yes,none,48,0
9,56.96360363316936,no,6.281173712715143,no,none,94,1
5,89.7012594635148,no,6.392936685381403,no,master,24,0
9,81.00363779642568,no,7.4810342153639935,yes,high_school,22,0
9,76.67305459881608,yes,7.2016152803612705,no,master,23,0
5,94.69462915254789,no,7.647430556760668,no,high_school,37,0
0,89.42986056122655,yes,8.58929956925277,yes,none,27,0
3,57.58374398663756,yes,8.87791443229656,no,bachelor,20,0
9,65.5861033897774,yes,8.308738457358967,no,high_school,53,1
5,62.424456990723286,yes,9.733142175729608,no,none,17,0
5,87.19731462863385,no,4.10939549605817,yes,master,35,0
4,51.67662173678897,no,5.174667914101277,yes,high_school,98,1
0,78.49448424356582,yes,4.045377249868853,no,bachelor,44,0
7,88.12293428703452,no,7.884848284927618,yes,master,72,1
4,93.83828183808748,yes,9.388183293699921,no,master,52,1
4,67.10408743579538,no,5.460893779457796,no,none,29,0
6,91.06286523360063,no,9.56220726877784,no,high_school,59,1
3,55.53158684776036,yes,4.361604341737365,no,master,97,1
5,92.3226145867259,no,9.606616160833086,no,bachelor,31,0
3,56.37443311659912,yes,6.1097361234378065,yes,high_school,66,1
2,69.86436452801837,no,4.608524970695299,no,bachelor,66,1
6,89.86476828897767,yes,6.915230555117954,yes,master,27,0
7,57.49587136743869,yes,5.540659406323048,yes,bachelor,43,0
3,61.462569761632075,no,5.709237411771537,no,none,78,1
1,86.1126284196533,no,5.84373978955772,no,bachelor,40,0
9,86.00182682730372,yes,8.818155386995981,yes,high_school,62,1
2,82.05738164426486,no,7.234967660051527,yes,bachelor,22,0
0,84.697422223355,no,5.867846194936022,yes,bachelor,74,1
7,77.13622216737981,yes,7.662002699865511,no,none,47,0
2,62.58995294534763,yes,8.296904045339161,yes,bachelor,31,0
9,67.28479967519597,no,5.635744004401203,no,bachelor,56,1
6,59.079885840071285,yes,6.481294609152109,no,master,99,1
9,95.42252806668142,yes,4.7313165600216855,no,master,32,0
4,79.16958973830603,yes,5.086896097208082,yes,high_school,23,0
9,70.042570838182,no,8.086707123789896,no,master,38,0
4,73.10029018220663,no,5.088630086173762,no,master,33,0
6,97.36416698059077,yes,7.1509803020023615,no,master,55,1
8,57.66757015580401,no,8.254277570334596,no,master,27,0
4,79.31149160083986,yes,4.641261538568463,no,none,36,0
0,75.2944339442233,no,7.403873317773421,yes,master,6,0
9,80.57271177173239,yes,5.539376702208182,no,none,67,1
9,50.90550919104203,yes,9.777561251425478,no,none,36,0
0,93.60619544720757,no,6.901273880319549,yes,master,55,1
1,96.60591412418063,yes,8.835955298650948,no,bachelor,64,1
5,78.25665917946044,no,7.301359252937571,yes,none,64,1
8,84.8325411938446,no,4.260475197128915,no,bachelor,46,0
7,96.12496905886479,yes,7.798908253564134,yes,bachelor,19,0
4,85.36193171566993,yes,9.708420053239943,yes,master,18,0
0,57.62695214571307,no,7.609670920877987,no,high_school,28,0
6,78.81441800834065,yes,8.915133156560742,no,master,73,1
4,80.3357523191428,yes,9.305238780090447,no,high_school,59,1
5,71.2065335651193,yes,5.368478631693595,yes,high_school,17,0
6,86.82221178123615,yes,5.27226903944936,yes,master,91,1
2,96.71835073845074,yes,7.66588593310595,yes,master,34,0
9,96.27842564533881,no,6.4661708188402285,no,high_school,42,0
2,72.5419685702066,no,9.039167817200322,yes,master,94,1
4,55.661902292037766,yes,9.400138740388067,yes,high_school,90,1
5,99.24205994811672,yes,6.120528275816309,no,bachelor,10,0
8,91.94490432229671,yes,5.421223353846893,yes,master,48,0
4,56.233134060163344,no,8.683153091463172,yes,bachelor,37,0
0,96.04209413086862,yes,5.648836213288817,no,none,63,1
3,93.49481810310641,no,8.935685911082071,yes,bachelor,68,1
4,75.94190285630361,no,6.542429521892577,no,bachelor,7,0
9,79.56377178724647,no,8.005299395748823,no,high_school,33,0
9,69.95013519350651,yes,4.573211883008009,no,bachelor,47,0
4,52.73808194110157,no,7.743155948059438,no,master,55,1
6,66.75986208229504,yes,6.710606072423374,no,high_school,75,1
3,90.14267242990057,no,7.519650779052845,yes,none,64,1
0,50.23160115023014,yes,5.0080852464691805,yes,master,30,0
4,66.6749585845572,no,8.421242469665092,no,none,3,0
6,69.90843467954717,yes,9.176782465259372,no,bachelor,49,0
9,76.86978014689615,no,5.300438800544654,yes,master,68,1
9,95.99278082063802,yes,4.574287333120971,no,master,29,0
5,67.31729971829806,yes,4.141831516278018,no,none,87,1
4,67.34766009481139,yes,7.851829002659596,no,master,58,1
3,86.87506240548743,yes,7.642564216532684,yes,master,66,1
1,72.61089704449036,no,7.28018447628442,yes,master,74,1
3,61.2302411469991,no,5.391682576695852,no,bachelor,44,0
9,72.62197580663467,yes,6.345435975433088,no,none,3,0
9,57.04285101898999,no,7.566858011117038,yes,master,25,0
2,58.819349325311165,yes,6.980601153155016,yes,high_school,26,0
9,74.91838863697399,yes,9.926713121289325,no,high_school,45,0
0,70.9462724752274,no,4.818638515340399,no,high_school,63,1
7,95.742295053405,yes,8.170867324285563,yes,high_school,90,1
4,68.11969495583165,yes,6.425912608625753,yes,bachelor,50,1
3,79.02941751390217,no,6.569197689553689,yes,master,49,0
7,81.61321439597651,yes,8.305586593949057,no,none,5,0
6,50.654722829416684,yes,8.154616907946217,yes,master,58,1
1,83.17686860083553,yes,9.94753596221313,no,bachelor,14,0
0,58.90179834348757,yes,4.770365736724751,yes,high_school,29,0
3,98.05351587347275,no,4.624657896304998,yes,bachelor,41,0
7,57.43313638765565,no,8.346032902772446,yes,master,100,1
1,70.73120618635119,no,7.470321502038455,yes,none,36,0
2,54.26748340393219,yes,5.644963999358835,no,bachelor,41,0
0,99.84371259229736,yes,4.47651621393392,no,none,100,1
0,75.10975051656213,no,4.513949497578583,yes,bachelor,34,0
2,79.76925086600218,yes,9.36514524798471,no,none,86,1
4,53.353823869421376,yes,5.151203948312458,yes,none,5,0
2,87.49802351995889,yes,5.940229372693125,yes,high_school,67,1
0,60.49527965477929,yes,5.359938413361928,yes,none,17,0
0,94.90271447203568,no,6.129977834991624,yes,high_school,72,1
7,60.25698202410036,no,4.41654305647656,no,master,28,0
9,59.534386033183324,no,7.114358745449622,yes,master,76,1
1,51.827483392404744,yes,4.405675381553289,yes,high_school,58,1
2,73.60334725549995,no,8.802139046934169,no,high_school,46,0
1,78.24205666313082,no,5.402272491462599,yes,bachelor,16,0
